"Name","Stage","Soundcloud","Description"
"K-Klass DJ Set","Toil Trees","https://soundcloud.com/k-klass?fbclid=IwAR1h8fDMXcxvrovWkw3G6AIItSscGzDrxN6cAGSRx-LUdywEDhET-o-hc0o","Keeping it Klassy since the turn of the 90s, K-Klass have been clean on it since square one with their legendary house repertoire. Spawned in the Hacienda, K-Klass became residents for the world’s biggest dance brand Cream, playing guest slots all over the world at some of the most prestigious and biggest dance events. With a slew of hits like “Rhythm is a Mystery” to their name, as well as countless remixes/ productions, as no surprise that K-Klass have won at the International Dance Awards and have worked alongside most of the biggest and most established artists around, including the Pet Shop Boys, Whitney Houston, Blondie and New Order."
"Kilimanjaro","Toil Trees","https://soundcloud.com/kilimanjaro-music","Have mountains of fun with Kilimanjaro, playing the sounds of Afro, Amapiano, house and more, forever bringing the party. Mr K combines his background of Afro-centric rhythms and influences with the fast paced energies of the western electronic scene, and has had residencies at FLY, La Cheetah Club and Pleasurehood,as well as support slots with the likes of Fred Again, Optimo, Melé, Folamour, Denis Sulta amongst others. An energetic live show means he always leaves with new fans, so make the ascent and see what the fuss is all about."
"La La","Toil Trees","https://soundcloud.com/lalaselector","Glaswegian lass La La has conquered Scotland with her finely honed house sets and now has her sights set on Beat-Herdershire! A longterm residency at Edinburgh's FLY, appearances at Sub Club and Tunnels Aberdeen, and Boiler Room performances alonside the likes of Folamour and Kornel Kovacs have bumped up La La's CV and she looks set to expand her empire. An intricate knowledge of dance music history shines through in her sets, demonstrated by her off-the-cuff selections of classic and modern house music alike."
"Mark Broom","The Fortress","undefined","*"
"Mark XTC","Stumblefunk","https://soundcloud.com/mark-xtc-2?ref=clipboard&p=i&c=1","Still hard at it everywhere from Boomtown to the Balearics, Manchester drum and bass badboy Mark XTC has been a driving force behind the North's underground music culture, being best known for co-founding the DA INTALEX partnership with Marcus Kaye. He's had a show on Kiss FM and has been dropping and popping on KOOLLONDON and at the Warehouse Project of late. As the name implies, he'll get you on the up before you know what's hit you!"
"Matt Guy","The Ring","https://soundcloud.com/mattguydj","One of the breakthrough artists of 2022, Matt Guy burst into the limelight with his single “Set My Mind Free”, which was bigged-up by Pete Tong and Sarah Story, becoming one of the year's hottest tracks. Matt's snowballing reputation has seen his music played by DJs from Solomun to Gorgon City and has earned him a residency at Egg London, supporting the likes of Michael Bibi and Latmun. Be that guy and go see Matt Guy."
"Mr Scruff & MC Kwasi","Toil Trees","http://www.soundcloud.com/mr-scruff","Appearing with his longtime collaborator and brother-in-beats MC Kwasi, Mr S will make you get down and dirty with his immaculate collection of filthy, filthy beats. Scraping together elements of soul, funk, hip hop, jazz, reggae, latin, african, ska, disco, house, funk, and breaks in his marathon sets, Mr Scruff will have you in need of a good scrubbing down when it’s all over."
"Phibes","The Fortress","https://soundcloud.com/phibes","Brothers-in-bass Ryan and Scott have released on multiple labels, their tastes ranging from glitch hop, swing, breaks to drum and bass. They have had #1 releases on Juno and Beatport, their music has been supported by breaks legends Featurecast and Krafty Kuts, and some high-tier remixes have added to their reputation as chieftains of the tribe of party vibes!"
"Sarah Story","Toil Trees","undefined","Sarah Story runs the Radio 1 show Future Dance and specialises in championing new talent in the music industry. She's known for her associations with other stalwarts Jaguar, Denis Sulta and Mella Dee. Aside from the radio and her own expanding DJ sets, Sarah’s also been the host of BACKSTORY, a podcast delving into the stories of some of the industry’s most interesting and intriguing names, including Eats Everything, DJ Paulette and Bklava. Sarah certainly knows her stuff and the Toil Trees are going to get the full Story."
"Seb Fontaine","The Fortress","https://soundcloud.com/sebfontaine","You can't delve into dance music without encountering the name Seb Fontaine, the former BBC R1 selector who secured international acclaim as the movement exploded in the nineties and noughties. Having matured with the genre, Seb is still pushing forward, running a MusicBox Radio show with Tall Paul, producing new music, and bringing dancefloor nirvana to legions of clubbers each and every weekend."
"Stanton Warriors","Trash Manor","https://soundcloud.com/stantonwarriors","With high-profile releases on XL Records, Fabric, Cheap Thrills, Central Station and Universal, alongside official remixes for everyone from Daft Punk and Fatboy Slim to MIA and Gorillaz, the Stanton Boys have proved themselves to be battle-hardened little buggers, so dig out the war paint for a massacre of a party when their bass-fuelled garage guns are unleashed."
"Taahliah","The Fortress","https://soundcloud.com/taahliah?fbclid=IwAR0kGJQvoFLhq21Er6gaE891bx5jU3DkCcXOnXMdTgozCAKzT4nP10yaUIY","TAAHLIAH is a rising star from Glasgow. After making her name in the underground queer club scenes of Berlin and Glasgow as a DJ and remixer, she took to the stage as a producer in 2021. Her debut EP "Angelica" brings together TAAHLIAH's expansive production skills and range of influences, moving effortlessly between squeaky-clean hyperpop textures and hard-dance sounds, and she's been sharing stages with SOPHIE, LSDXOXO, 100 Gecs and Eris Drew whilst also supporting Jamie xx."
"Tall Paul","The Fortress","undefined","Large by name, big reputation – Tall Paul is a UK house scene stalwart and has been rocking dancefloors around the globe for three decades. At the forefront of London’s renowned pirate radio station scene back in the day, Paul became a name on the premier club circuit in the 90s and joined the globetrotting DJ Elite. He still has a thirst for all things fresh and funky and is set to raise The Fortress to his lofty standards."
"Utah Saints","The Ring","http://www.soundcloud.com/utahsaints","Utah Saints have been making music, dj’ing and playing gigs around the globe since the birth of House music."
"Airwolf Paradise","Toil Trees","https://soundcloud.com/airwolfparadise","Colourfully-named Airwolf Paradise is a producer's-producer known for his 2022 hit “Don't Hurt Me Baby”, released as a Radio 1 Hottest Record and becoming one of the biggest hits of the year. He's caught the attention of respected tastemakers like Patrick Topping, Solomun, Jamie Jones, Eli Brown, Danny Howard, Solardo and more. Victorious performances to full crowds at Printworks, Creamfields, Parklife and DC-10 have cemented the reputation and backed up the hype – wolf down some fun at the Toil Trees."
"Andy Votel","The Perfumed Garden","https://soundcloud.com/finderskeepersrecords","DJ, graphic designer, label boss, curator... Andy's been up to plenty over the years, having come up from the Violators of the English Language movement and signing to XL in 2000. He is an internationally renowned DJ and has performed at events such as Sonar, All Tomorrow's Parties and Green Man Festival, and appears regularly alongside Stuart Maconie on the Freakier Zone show on BBC 6 Music.     "
"Cici","Toil Trees","https://soundcloud.com/cici-cavanagh","Psychedelic DJ-producer Cici creates crystals of cosmic energy with her electronic sets. She's been at it since 2009, coming out of Dublin and now spending her time between London, where she's played Fabric, and Ibiza, where she regularly plays the infamous Pikes for Cosmic Pineapple, alongside Josh Wink, Ida Engberg and Pete Tong amongst more. An electronic tastemaker who also happens to know the history of acid house, Cici favour wild energy in intimate settings – Toil Trees represent!"
"Denham Audio","The Ring","https://soundcloud.com/DenhamAudio","16v hatchback breakbeat NRG kickin’ it out of your Kenwood system! Part of the Club Glow collective, Denham Audio have brought new urgency and vitality to the modern rave scene with their blizzard of breakbeats, b-lines and acid hooks. Rooted in the legacy of UK hardcore but with a modern spruce-up, Denham Audio excel in the 140-160bpm range and have played sets all over the UK and as far as Seoul, Tokyo, Berlin and New York."
"Dutty Moonshine DJ Set","Trash Manor","https://soundcloud.com/duttymoonshine","Get down and Dutty with it! Dutty Moonshine are a mash-up collective of DJs who lace bass-heavy sets together with an unmistakeable vintage sound. Absolute mayhem is their goal, and they will be packing fuzzy basslines and shameless antics to rival any cabaret. A potent homebrewed potion to perk you up and then lay you out."
"Elkka","Toil Trees","https://soundcloud.com/elkka","London-based artist Elkka began her path as a singer-songwriter and has evolved into a multi-faceted producer, DJ and label boss. Elkka’s music is a cross-pollination between house, electronica, percussive beats and dreamy vocals, which translates into hypnotic live performances. So far her work has been supported by Four Tet, Floating Points, Caribou, George Fitzgarland, Sherelle, Annie Mac and more, and there’s plenty more heat to come."
"Fatboy Tim","BH&DWMSC","https://soundcloud.com/fatboytim","Norman Cook-alike Fat Boy Tim is the world's first DJ tribute act – he looks, sounds and generally misbehaves like the real Slim,who once commented that “I won't need to work because Fatboy Tim can turn up instead”! Tim's a world class DJ in his own right, having built a following and playing gigs all over the world, from Ibiza to India, alongside big names like Calvin Harris. Don't forget to praise him..."
"Greg Lord","The Fortress","https://soundcloud.com/greglord","Lord of Manchester, first name Greg, longtime resident and trusted selector at the Warehouse Project with a penchant for tech funk, grungy smut and sticky acid house jazz. His mixes jump through house and techno touching on rough percussive tracks, heart soaked synthlines, bumpy acid basslines and flashes of wild rhythm, all working in service of delivering timeless dance music to the floor. This Lord lets the music do the talking."
"Jaegerossa","The Ring","https://soundcloud.com/phil-rose-1973","One of the heads behind one of disco’s most prolific and loved labels, Midnight Riot, Phil AKA Jaegerossa has been a dedicated clubber, music lover, DJ and producer since the 90s. Along the way he has had some serious success under a variety of monikers including most recently as the chart-topping Platinum City. With a Midnight Riot 10th anniversary tour, Ibiza gigs and his continuing Mamasan residency in Liverpool all going off, Jaegerossa is not mucking about."
"Kara","The Fortress","undefined","Young up-and-coming Junglist noisemaker Kara has become one of the most booked young artists in the scene, bringing her signature energy behind the decks to festivals including Hospitality on The Beach, Rampage Renegade and Westfest, and countries as far as New Zealand. With early releases to her name including a remix of DJ Phantasy & Doktor’s “Junglist” (with one million streams on Spotify) and a bootleg of Biscits’ “Your Body,” the early signs are looking bright for this young talent."
"Kelvin 373","The Fortress","https://soundcloud.com/kelvin-373?fbclid=IwAR37vw7lLAYm_4PPFwAI-lxmCPOWeZbm_efW6yya0hARUP_ZCTBBSnSNeJU","Born on Road head honcho Kelvin 373 has been shelling dances all over the planet. He recently won best breakthrough DJ at the We Love Jungle awards and has carved himself a name as one of the most exciting acts on the underground circuit."
"Mikey D.O.N","Toil Trees","https://soundcloud.com/mikeydon1","The Northwest's number one soundboy, Microphone D.O.N. (from the UK hip hop group Krispy 3) has no qualms rocking the joint from behind the turntables or laying down lyrical devastation. A UK hip-hop pioneer, he's gained a reputation for playing everything from reggae to rave to funk with a dedication that has seen him perform with the likes of Lee Scratch Perry and Bunny Wailer, hitting up top clubs like Fabric and a slew of the UK's best festivals."
"Roast Beatz","The Fortress","https://soundcloud.com/roastbeatz","Cooked to perfection, Roast Beatz's menu features hip-hop, D&B, funky breaks and mash-ups to get you salivating. With a DJ career spanning over 14 years, Roast Beatz has considerable experience rocking crowds while successfully seasoning his set with cuts, live remixes and doubles. Production credits including Action Bronson and millions of views online show that Roast Beatz will bring the meat and two veg to The Fortress – you supply the gravy."
"Simone Marie (Primal Scream)","Trash Manor","undefined","Primal Scream bassist Simone doesn't just thump the four-string, she also doubles as a DJ, having played at clubs and festivals all over the UK and Europe (Glasto, Razmatazz Barcelona and Spiritland to name a few). She hosts her own show on Soho Radio playing rock & roll, electronica, indie and psychedelia. Simone will definitely make Trash Manor her own."
"Slipmatt","The Fortress","undefined","The Godfather of Rave is still keeping it fresh after three decades of legendary effort. Breaking out at the beginning of the nineties as one half of SL2 and putting out hits like “Do That Dance” and “On a Ragga Tip”, Slipmatt played every single rave in the formative summer of 1991 and thus cemented himself as a cornerstone of the scene and genre. He hasn't let up in the years since, continuing to rattle floors everywhere from Fantazia and Raindance to Glastonbury, and The Fortress is next on his list!"
"T e s t p r e s s","The Fortress","https://soundcloud.com/testpressabz","All spaces and no caps, t e s t p r e s s are a Scottish production group that are inspired by the lofi house movement defined by figures like Mall Grab and DJ Boring. They've cemented their place in the electronic music scene with their deep house releases on Patrick Topping’s Trick imprint, plus Positiva, EMI and Gorgon City’s Realm. Their self-described “Celtic House Movement” is finding favour among the house elite, with support from Denis Sulta, Skream and KETTAMA. The duo have since graced the airwaves, receiving support from the likes of BBC Radio I's Annie Mac, Danny Howard and Nick Grimshaw."
"Tarzsa","Trash Manor","https://soundcloud.com/tarzsa_williams?fbclid=IwAR3gEc6FkfysJ1TY6jyqkgA7F-9eyiFtksmRLW79N3oaVdom88-Cjdsi3Tk","Electronic soul DJ Tarzsa has quickly become a favourite amongst lovers of the genre, having secured residences with NTS and Swing Ting. She's also made regular appearances on BBC 6 Music, filling in for like-minded contemporaries such as Afrodeutsche and hosting the Early Breakfast show. Tarzsa’s blend of jazz, house, RnB and soul has resulted in her status as an in-demand selector, which has earned co-signs from the likes of Mr Scruff and Gilles Peterson."
"421 Collective","Smoky Tentacles","undefined","421 Collective are a Bristol-based soundsystem and events collective, bringing some big-rig madness to Smoky Tentacles. ."
"Andy P","Trash Manor","undefined","Turned on to Acid House in the late 80s in London at Club Dog ( Megadog’s forerunner), it was inevitable he’d end up behind the decks, playing underground cuts and edits across the dance spectrum. Curator and resident at Glasto’s legendary Diner in the SE corner. Member of After the Goldrush Party collective in NE London from where he hails, expect to move to the groove…"
"Aroop Roy","Toil Trees","https://soundcloud.com/aroop-roy","Ranging from house, disco and techno to jazz, funk and Afrobeat, Aroop's eclectic sets draw in high praise from figures like Gilles Peterson, and he has enjoyed universal acclaim as a producer and DJ. In 2022 he closed We Out Here Festival with Mr Scruff who described Aroop as a 'ridiculously skilled selector', and how he's fully booked up with headline sets at Fabric, Printworks, Defected Croatia, Hi Ibiza and Gilles Peterson's Worldwide Festival, as well as being invited by the legendary Mr Scruff for a B2B tour."
"Boogie Oogie Wonderland","BH&DWMSC","undefined","Hailing from Dumfries Scotland Boogie Oogie Wonderland aka Mr Smooth Grooves brings his Funky/Tropical/Disco/Soulful vibes all re-edited and blended to bring the ultimate in Groovy Goodness a must see."
"Campo ","The Ring","undefined","Dropping tunes spanning across multiple genres and decades, the one thing we know Campo can do is make your ass shake! Bringing good vibes, journeying through House, Disco and Techno and throwing in the occasional leftfield wobbler!"
"Dj Emma","The Ring","https://soundcloud.com/djemmaryalls","DJ Emma is a DJ and producer with a passion for the genres of funk, soul, disco and house. She's had a show on Select Radio and a new residency on Brighton Based Radio Station 1BTN. She is also a regular on her local BBC Radio Wiltshire where she curates specialist music shows and is also a Friday night resident DJ. Emma regularly DJs around Bristol and London with gigs at The Thekla, Brixton Jamm, 93 Feet East, Spiritland and Hootenanny as well as at festivals including Camp Bestival, Shindig, We Out Here, Wilderness and more."
"DJ Paulette","Trash Manor","https://soundcloud.com/djpaulette","From radio to bar to club to festivals, Paulette is a champion of great music – digging deep in the crates for sets of hip hop, raw funk, rare grooves, diamante-strewn disco and tasteful techno. With a keen instinct for how to flip a crowd, and with selections always a cut above the rest, it's no surprise she's held residencies at the best clubs and parties worldwide."
"DJ Radiator (Krysko)","Toil Trees","http://www.soundcloud.com/krysko","Our man Krysko does not mince words: a self-professed enemy of ‘over saturated digital bombardment’, he understands that ‘all it actually boils down to is good F-in music, and if you’re a real music lover, you know what is and what isn’t’. Couldn’t have put it better mate. Having held some of the scene’s most respected residencies at The Redlight, Tribal Sessions at Sankeys Soap, Tribal Gathering and now the musical juggernaut that is The Warehouse Project, this veteran DJ is truly in a position to put his money where his mouth is."
"DJ Risqué","The Fortress","https://soundcloud.com/dj_risque/risque-business-volume-1","Jodie Millner of Darwen is DJ Risqué - Risqué by name, Risqué by nature. Disco/funk/house/80s/90s/edits, dancing encouraged. What more do you need to know? Walk on the wild side at The Fortress."
"Emma Forster","The Ring","https://soundcloud.com/emmalottie","Emma Forster is a Leeds-based artist drawn to melodic house and drum grooves, with an atmospheric edge lent by strong chords and Balearic drums. She's is a versatile DJ happy to play chilled opening slots as well as peak time sets at Leeds’s MiNT Warehouse supporting artists like Hot Since 82, Eats Everything, Annie Mac, Solardo, Maxinne, Burnski and Route 94. She has played in Manchester, Liverpool, and London, holding a DJ residency with the brands Sersa Records and UKVisualize. Her sets are often playful, with mixing in acapellas listed as her favourite technique to stay unpredictable."
"Euphonique","Stumblefunk","https://soundcloud.com/euphonique","Euphonique with get Stumblefunk euphoric with her D&B offerings. With beats on respected D&B labels such as Hospital, Born On Road, Jungle Cakes, Dread Recordings, Ruffneck Ting and her own imprint Subwoofah Records, Euphonique’s high energy style has been part of the landscape since she emerged in 08 and has led to heavy plays on Radio 1, nominations at the We Love Jungle Awards and Drum & Bass Awards, and performances at Glasto, Boomtown, Warehouse Project, Hospitality, Fabric etc!                                                    "
"Gina Breeze","Toil Trees","http://www.soundcloud.com/ginabreeze","Making music has stolen her heart, but we give our blessings to this union wholeheartedly! Hailing from Manchester, which Miss B rightly calls a ‘true staple of the European electronic music scene’, she draws inspiration from the creativity and innovation going on around her which informs her unique approach to unique approach to making house music, techno and experimental electronica."
"Groovers In The Heart","BH&DWMSC","undefined","We're going to dance, we're going to dance, we're going to dance and have some fun with Shipley based party starters Groovers in the Heart. Don't be vicious or malicious, just de-lovely and delicious and soak up the good Soul & Funk vibes down at the WMC. Dig!"
"Infrared","The Fortress","https://soundcloud.com/user5065441-1?ref=clipboard&p=i&c=1&si=414CA39A8B3442BB8976AF0215E28E4A&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","Infrared are an up-and-coming female techno duo from Darwen, taking their local music scene by storm with their fiery, energetic sets. With bookings on multiple well-established events in their hometown and the surrounding areas, the pair have also supported artists such as Boxia, Ronnie Spiteri, Rebel boy and Saytek… Definitely a pair to keep your sights on in the future."
"Juicy Goose","The Fortress","undefined","Get loosey goosey with Juicy, a DJ/producer making and mixing various kinds of bouncy and fun 4x4 tunes ranging from bassline, to speed garage, to 4x4 trance, and everything in between. If it's fun to dance to, he'll play it – mouthwateringly moist beats to get you Goosed."
